date,city,country,venue,details
06-12-2016,"Toronto, ON",Canada,Woodbine Park,Bestival Music Festival - with the Cure - shoplift
06-11-2016,"Chicago, IL",USA,UIC Pavilion,with the Cure - rabbit
06-10-2016,"Chicago, IL",USA,UIC Pavilion,with the Cure
06-09-2016,"Chicago, IL",USA,Lincoln Hall,prossy
06-08-2016,"Kansas City, KS",USA,Starlight Amphitheatre,with the Cure
06-07-2016,"St Paul, MN",USA,Xcel Energy Center,with the Cure
06-05-2016,"Denver, CO",USA,Fiddler's Green Amphitheater,with the Cure
06-03-2016,"Salt Lake City, UT",USA,Maverik Center,with the Cure
06-02-2016,"Boise, ID",USA,CenturyLink Arena,with the Cure
05-31-2016,"Vancouver, BC",Canada,Festival Lawn at Deer Lake Park,with the Cure
05-30-2016,"Portland, OR",USA,Doug Fir Lounge,don't move - shoplift - prossy - rabbit
05-29-2016,"George, WA",USA,the Gorge,with the Cure
05-28-2016,"Portland, OR",USA,Sunlight Supply Amphitheater,with the Cure
05-26-2016,"Mountain View, CA",USA,Shoreline Amphitheater,with the Cure - sheepdug - january - shoplift - rabbit
05-25-2016,"Los Angeles, CA",USA,Teragram Ballroom,downstairs - january - alphabet - drown - mooth - nil - car
05-24-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - hit single - shoplift - badlands
05-23-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - badlands
05-22-2016,"Los Angeles, CA",USA,Hollywood Bowl,with the Cure - sheepdug - badlands
05-20-2016,"Chula Vista, CA",USA,Sleep Train Amphitheater,with the Cure - badlands - sheepdug & january
05-19-2016,"Las Vegas, NV",USA,Chelsea Theater at the Cosmopolitan,with the Cure - sheepdug - january - badlands
05-17-2016,"El Paso, TX",USA,Don Haskins Center,with the Cure - photos
05-15-2016,"Dallas, TX",USA,American Airlines Center,with the Cure
05-14-2016,"Houston, TX",USA,Toyota Center,with the Cure - badlands - january - proper f
05-13-2016,"Austin, TX",USA,Frank Erwin Center,with the Cure - photos
05-11-2016,"New Orleans, LA",USA,UNO Lakefront Arena,with the Cure - video: entire set
05-10-2016,"New Orleans, LA",USA,UNO Lakefront Arena,with the Cure
04-02-2016,Glasgow,Scotland,SSE Hydro,with Chvrches - video: january - shoplift
12-12-2015,Glasgow,Scotland,Barrowlands,with Man of Moon - video: badlands (incomplete) - dead city - hit single (incomplete) - alphabet - sheepdug (incomplete) - car - shoplift - photos
12-10-2015,Manchester,England,Gorilla,with Man of Moon - video: sheepdug - review + photo
12-09-2015,Birmingham,England,O2 Academy,with Man of Moon - review + photos
11-17-2015,Madrid,Spain,La Riviera,with Editors - video: badlands - january - prossy - photos
11-16-2015,Barcelona,Spain,Sala Razzmatazz,with Editors - video: nil
11-13-2015,Strasbourg,France,La Laiterie,with Editors - video: badlands - photos
11-12-2015,Munich,Germany,Tonhalle Munich,with Editors - video: sheepdug
11-10-2015,Offenbach Am Main,Germany,Stadthalle Offenbach,with Editors - video: prossy
11-09-2015,Berlin,Germany,Columbiahalle,with Editors
11-08-2015,Hamburg,Germany,Mehr! Theatre Am Grossmark,with Editors - photos
11-07-2015,Hamburg,Germany,Molotow Bar,with Editors
